time,low,high,open,close,volume,market cap
2017-06-01T00:00:00,2302,2323.35,2303.61,2323.32,622.5587738,37446200000
2017-06-01T01:00:00,2315.02,2371.88,2323.33,2371.5,1251.165059,37446200000
2017-06-01T02:00:00,2340,2390,2371.83,2359.9,1831.106008,37446200000
2017-06-01T03:00:00,2354.56,2389.99,2359.9,2378.67,843.3527975,37446200000
2017-06-01T04:00:00,2370.17,2415.86,2378.9,2410.26,979.2903526,37446200000
2017-06-01T05:00:00,2390.56,2414.99,2410.28,2404.75,861.0400711,37446200000
2017-06-01T06:00:00,2392.01,2410,2405.12,2407.68,806.9517707,37446200000
2017-06-01T07:00:00,2396.55,2418.93,2407.46,2418.93,974.8536651,37446200000
2017-06-01T08:00:00,2418.18,2459.95,2418.94,2452.59,930.1987581,37446200000
2017-06-01T09:00:00,2435,2459.44,2452.31,2444.68,752.2185714,37446200000
2017-06-01T10:00:00,2426.18,2448.55,2444.65,2442.38,814.3687139,37446200000
2017-06-01T11:00:00,2435.01,2472,2442.35,2472,579.5038253,37446200000
2017-06-01T12:00:00,2460,2488,2471.99,2460,777.3019242,37446200000
2017-06-01T13:00:00,2449.16,2474.99,2460.54,2474.89,643.7836115,37446200000
2017-06-01T14:00:00,2428,2478.73,2474.85,2428,898.5172177,37446200000
2017-06-01T15:00:00,2380,2439.27,2428,2399.98,1666.836385,37446200000
2017-06-01T16:00:00,2357.04,2399.99,2399.46,2367.99,1080.524168,37446200000
2017-06-01T17:00:00,2318,2381.84,2367.98,2381.83,1263.444275,37446200000
2017-06-01T18:00:00,2370.01,2391.87,2381.83,2375.61,924.2863456,37446200000
2017-06-01T19:00:00,2360.88,2388,2374.54,2387.98,669.5694675,39344600000
2017-06-01T20:00:00,2387.98,2417.61,2387.98,2413.47,776.5022662,39344600000
2017-06-01T21:00:00,2401.12,2419.98,2413.46,2401.64,516.2405095,39344600000
2017-06-01T22:00:00,2378,2411.79,2401.65,2392.11,477.1204986,39344600000
2017-06-01T23:00:00,2391.05,2419.99,2394.37,2419.99,449.6000071,39344600000
2017-06-02T00:00:00,2393.77,2420.54,2419.98,2404.38,591.3485544,39344600000
2017-06-02T01:00:00,2387.87,2414.36,2404.32,2413.39,562.3751528,39344600000
2017-06-02T02:00:00,2404.91,2433.63,2413.03,2425.04,578.534643,39344600000
2017-06-02T03:00:00,2425.02,2445,2425.54,2443.1,588.2749086,39344600000
2017-06-02T04:00:00,2426.1,2443.06,2443.05,2431.01,440.3777417,39344600000
2017-06-02T05:00:00,2410,2438.7,2431,2423.51,443.6512019,39344600000
2017-06-02T06:00:00,2412.09,2435,2423.35,2434.99,363.6365585,39344600000
2017-06-02T07:00:00,2432.53,2449.8,2434.68,2443.86,232.3141399,39344600000
2017-06-02T08:00:00,2420.81,2443.87,2443.86,2423.81,240.1088673,39344600000
2017-06-02T09:00:00,2418.98,2441,2423.81,2441,278.946574,39344600000
2017-06-02T10:00:00,2425.49,2444.32,2441,2428.72,296.9037513,39344600000
2017-06-02T11:00:00,2419.39,2432.84,2428.61,2432.84,290.4916586,39344600000
2017-06-02T12:00:00,2422.89,2439.56,2432.95,2429.71,386.7122509,39344600000
2017-06-02T13:00:00,2379.44,2434,2429.43,2389.99,920.0018519,39344600000
2017-06-02T14:00:00,2380,2410,2389.98,2408.97,562.9479042,39344600000
2017-06-02T15:00:00,2404.21,2426,2407.94,2426,723.3221261,39344600000
2017-06-02T16:00:00,2416.07,2439.99,2426,2425.34,824.5156426,39344600000
2017-06-02T17:00:00,2395,2429.26,2425.35,2421.44,624.1139844,39344600000
2017-06-02T18:00:00,2402.83,2430.86,2421.48,2419.39,598.9852032,39344600000
2017-06-02T19:00:00,2405,2419.77,2419.76,2414.41,564.3966053,40817100000
2017-06-02T20:00:00,2412.39,2434.88,2415.67,2427.51,809.4641953,40817100000
2017-06-02T21:00:00,2425.01,2436.15,2428.24,2436.15,701.1776328,40817100000
2017-06-02T22:00:00,2434.93,2447.99,2436.15,2447.99,602.6753603,40817100000
2017-06-02T23:00:00,2447.98,2478.99,2447.99,2478.99,665.3823351,40817100000
2017-06-03T00:00:00,2478.99,2494.63,2478.99,2494.63,662.1119064,40817100000
2017-06-03T01:00:00,2478.92,2494.64,2494.62,2486.6,381.2379152,40817100000
2017-06-03T02:00:00,2486.58,2494.98,2486.6,2489.97,335.2212055,40817100000
2017-06-03T03:00:00,2465.38,2499,2489.97,2465.38,476.4408947,40817100000
2017-06-03T04:00:00,2457.57,2481.35,2470.85,2458,420.578208,40817100000
2017-06-03T05:00:00,2456.49,2475.5,2458,2460.24,347.8462936,40817100000
2017-06-03T06:00:00,2448,2469.66,2456.5,2467.26,355.2852322,40817100000
2017-06-03T07:00:00,2465.87,2489.89,2467.3,2483.63,176.5357554,40817100000
2017-06-03T08:00:00,2485,2498.52,2486.19,2498.52,203.4393174,40817100000
2017-06-03T09:00:00,2487,2500,2498.4,2499.51,396.9732348,40817100000
2017-06-03T10:00:00,2493.52,2540,2500,2526.74,509.193241,40817100000
2017-06-03T11:00:00,2512.52,2531.27,2526.79,2531.02,273.5092548,40817100000
2017-06-03T12:00:00,2517.4,2536.19,2531.02,2531.72,425.8427607,40817100000
2017-06-03T13:00:00,2529.98,2540,2532.68,2530.01,473.3265222,40817100000
2017-06-03T14:00:00,2529.99,2550,2530.49,2548.99,633.792053,40817100000
2017-06-03T15:00:00,2542,2572.75,2549,2572.74,692.243262,40817100000
2017-06-03T16:00:00,2554,2583.3,2572.75,2583.3,697.3131475,40817100000
2017-06-03T17:00:00,2582.04,2599,2582.38,2596.35,916.7943272,40817100000
2017-06-03T18:00:00,2560,2596.99,2596.35,2561.5,784.283065,40817100000
2017-06-03T19:00:00,2552.21,2583,2561.5,2564.52,1193.146606,41708200000
